underlying,strike,n,mean_delta_r0045,mean_delta_r0037,pct_change_mean_delta,t_stat_r0045,p_value_r0045,reject_H0_r0045,t_stat_r0037,p_value_r0037,reject_H0_r0037,significance_changes
GC,ALL,1326,-0.08941928335684564,-0.08942618552311087,-0.007718878977907261,-29.453691193875244,4.310246158990955e-147,True,-29.44143402710895,5.362389866285731e-147,True,False
SI,ALL,1345,-0.05285180103519506,-0.052327566406320865,0.9918954862580671,-20.65218361911673,1.6124405569759458e-82,True,-20.388719895338237,9.988844500897775e-81,True,False
GC,4600.0,114,-0.09854415511331008,-0.09810342225434675,0.44724403842780697,-10.233910019573596,8.62177750469219e-18,True,-10.188784126163359,1.0980967544935643e-17,True,False
GC,4800.0,108,-0.08288624409399506,-0.08265808605357161,0.27526647264256726,-9.842718542911058,1.1590432184090788e-16,True,-9.79998030516652,1.4485249357062025e-16,True,False
GC,5000.0,109,-0.08387761334379425,-0.08384521727360582,0.03862302335146896,-9.051484632092016,6.64732060883638e-15,True,-9.037441559068114,7.151582138685651e-15,True,False
GC,5200.0,109,-0.10635348806369319,-0.10642150452550421,-0.06395320271046515,-9.653274825350211,2.8676136825370177e-16,True,-9.651307056983374,2.897309544032208e-16,True,False
GC,5400.0,110,-0.10333582181662254,-0.103449222354829,-0.10973981356407383,-9.701595638489522,2.05095061599559e-16,True,-9.70627436580271,2.001097571277038e-16,True,False
GC,5600.0,110,-0.11513928183160675,-0.11526574516274272,-0.10983508766445839,-8.572401356703107,7.530841874062874e-14,True,-8.577947294512308,7.317274855551301e-14,True,False
GC,5800.0,107,-0.10074051544979692,-0.10086212896355906,-0.12071956671964967,-8.123827790722771,8.885549693890018e-13,True,-8.130297078976202,8.598309152766615e-13,True,False
GC,6000.0,122,-0.08374060633974242,-0.08384973231718008,-0.13031429100826813,-8.037060039442926,6.963083163462554e-13,True,-8.045069492998895,6.672715273138962e-13,True,False
GC,6200.0,109,-0.07740774653301156,-0.07750180392991056,-0.12150902346560671,-7.314505260661687,4.783710639172393e-11,True,-7.320916992803135,4.633411996948026e-11,True,False
GC,6500.0,110,-0.08971468822853738,-0.08979314892400815,-0.08745579683774583,-7.839672187990701,3.2607184197237333e-12,True,-7.8444030047370505,3.183120615451016e-12,True,False
GC,7000.0,109,-0.06283531255253617,-0.06288832380737867,-0.08436538737382354,-8.033643131430576,1.2714228141541462e-12,True,-8.038378823428067,1.2410636641333819e-12,True,False
GC,8000.0,109,-0.06849607302152752,-0.06852159654151962,-0.037262749331750306,-7.584439600107354,1.2388915990366157e-11,True,-7.585973906985618,1.2293659378671635e-11,True,False
SI,100.0,116,-0.0655425743608517,-0.06556510199496564,-0.03437099371457094,-6.874656011264796,3.409724750322224e-10,True,-6.873659359340041,3.4266554114595695e-10,True,False
SI,110.0,116,-0.060980971814092684,-0.06104074915819326,-0.09802622411924863,-7.68006801887971,5.7476889255000815e-12,True,-7.683683579573088,5.641477190403955e-12,True,False
SI,120.0,115,-0.05301091733425865,-0.053084552492605915,-0.13890564821385226,-6.102262650904805,1.4758486276174816e-08,True,-6.108045280670217,1.4361396351559517e-08,True,False
SI,140.0,108,-0.03314691240108709,-0.033219347383896196,-0.21852708913766733,-4.119754167182117,7.49710815545861e-05,True,-4.127085349959077,7.294071519507407e-05,True,False
SI,60.0,115,-0.06676007469052594,-0.06429843335203889,3.6872956627120055,-8.871818925185627,1.1637203001485274e-14,True,-8.450454621879096,1.0811769851465679e-13,True,False
SI,65.0,111,-0.04827725568001697,-0.04664489601044471,3.3812188505319876,-4.111298836086985,7.609005310360968e-05,True,-3.94286585693562,0.00014195263576626346,True,False
SI,70.0,113,-0.05754603217610926,-0.05653992612108418,1.7483500025615581,-5.881865513941616,4.2820211441769094e-08,True,-5.74748304263029,7.93420803229997e-08,True,False
SI,75.0,125,-0.06998910649222183,-0.06940104546065262,0.8402179439661228,-7.954419165777367,9.598052524889501e-13,True,-7.853066615671527,1.6484280082052544e-12,True,False
SI,80.0,117,-0.037917260462544025,-0.03756262276579457,0.9352935639951573,-4.830615016314996,4.199487161775509e-06,True,-4.770160875388734,5.4014950362818215e-06,True,False
SI,85.0,108,-0.04319854749246249,-0.04298822017363765,0.486885164047557,-5.514326272728871,2.449724188852131e-07,True,-5.4840867568431495,2.799952325946084e-07,True,False
SI,90.0,109,-0.0496891802000175,-0.04959109410299798,0.19739930629704178,-5.784067915003428,7.190901322007465e-08,True,-5.771316910896902,7.619150636220219e-08,True,False
SI,95.0,92,-0.04268925913979034,-0.04263973371890343,0.11601377462357512,-4.970830165331438,3.117795728477633e-06,True,-4.966999335678079,3.1665845649625494e-06,True,False
